Actual,Predicted,Lower Bound (95%),Upper Bound (95%)
7152.0,5976.36,5015.55446481994,6937.165535180059
10211.0,8892.88,4158.402526158461,13627.357473841537
7716.0,7127.69,4775.802119654033,9479.577880345965
9576.0,8453.85,7085.170607880721,9822.529392119279
5186.0,5941.2,3992.580952366523,7889.819047633477
5505.0,5521.74,4494.182353062447,6549.297646937553
6776.0,7236.01,5812.750861605366,8659.269138394635
11950.0,9802.36,7663.080371724951,11941.63962827505
6492.0,6868.44,5164.904349397336,8571.975650602664
6404.0,7741.06,6162.784173522816,9319.335826477185
13582.0,12205.96,11342.344590930985,13069.575409069013
6266.0,6010.25,4585.653790639608,7434.846209360392
6627.0,7046.86,2963.8647935447384,11129.85520645526
4804.0,5202.18,3812.144037445017,6592.215962554983
6954.0,7196.16,6489.3491752561795,7902.97082474382
8446.0,8724.55,6330.2165771543005,11118.883422845698
6587.0,5920.3,4472.4187608204875,7368.181239179513
7459.0,6613.06,5722.745028807086,7503.374971192915
6294.0,7331.48,4704.352304834924,9958.607695165076
5981.0,5972.22,4485.700214960271,7458.739785039729
11371.0,11639.22,10117.856243580594,13160.583756419404
8622.0,7543.42,5040.270363918737,10046.569636081264
6880.0,6463.19,4593.468698922687,8332.911301077313
6082.0,7068.22,5172.269305589791,8964.17069441021
3781.0,3798.24,3160.049425375272,4436.430574624727
5898.0,5422.31,4804.427425351516,6040.192574648485
7915.0,6429.73,1994.4155953324607,10865.044404667538
9333.0,9725.63,7256.859815891936,12194.400184108063
10241.0,9759.24,8611.34140212132,10907.13859787868
5149.0,5014.03,4013.174295931447,6014.8857040685525
4845.0,6334.19,2341.3566942655543,10327.023305734445
3275.0,3999.39,1685.14470418267,6313.63529581733
5201.0,5583.1,4049.9967826894376,7116.203217310564
7517.0,6986.51,4743.4414963327945,9229.578503667206
4365.0,3942.2,3432.70886701337,4451.69113298663
10464.0,9485.48,6153.845289312863,12817.114710687136
7673.0,8219.94,6079.778478328741,10360.10152167126
5914.0,5984.65,4110.569018549091,7858.730981450908
7974.0,7704.85,6435.119479331934,8974.580520668067
6434.0,9590.48,6030.472670863813,13150.487329136187
6968.0,6451.72,5382.979749153912,7520.4602508460885
5916.0,6310.51,5200.101843394583,7420.918156605418
9879.0,8438.32,6375.127698952867,10501.512301047132
6820.0,6698.64,4906.393053742694,8490.886946257306
4694.0,6644.88,2866.7859087533348,10422.974091246666
7590.0,7809.64,5495.845471971065,10123.434528028934
12062.0,12760.01,11835.753945564953,13684.266054435047
11066.0,9819.06,7846.293003789286,11791.826996210713
10282.0,10680.88,9201.488559859506,12160.271440140492
12305.0,11443.67,9354.095917648823,13533.244082351177
4240.0,4629.96,3446.5537807441438,5813.366219255857
5164.0,5575.96,4562.559824386515,6589.360175613485
9257.0,9951.64,7931.170646127825,11972.109353872173
6031.0,6110.98,4333.859316890561,7888.100683109438
3971.0,4325.85,3132.2596487337046,5519.440351266296
7590.0,7967.62,6957.843720448455,8977.396279551545
8606.0,8123.45,6289.283060323025,9957.616939676975
11097.0,9369.04,4912.4180674383615,13825.661932561641
