Id,Sales
1,8625.0
2,11226.66
3,9583.3
4,9583.3
5,9583.3
6,9583.3
7,7434.39
8,11686.67
9,11686.67
10,11226.66
11,11226.66
12,7540.88
13,11686.67
14,11226.66
15,11226.66
16,11686.67
17,9583.3
18,11226.66
19,9583.3
20,11262.43
21,7540.88
22,11226.66
23,9583.3
24,11686.67
25,9583.3
26,7434.39
27,11226.66
28,9583.3
29,11226.66
30,11686.67
31,11686.67
32,11686.67
33,11686.67
34,9583.3
35,11226.66
36,11226.66
37,9583.3
38,9583.3
39,9583.3
40,11226.66
41,11226.66
42,9583.3
43,11226.66
44,11226.66
45,7434.39
46,7540.88
47,11226.66
48,11686.67
49,11686.67
50,9583.3
51,11686.67
52,11686.67
53,7540.88
54,11226.66
55,11226.66
56,9583.3
57,7540.88
58,9583.3
59,9583.3
60,11226.66
61,7540.88
62,7540.88
63,11226.66
64,11226.66
65,7540.88
66,9583.3
67,11226.66
68,11226.66
69,9583.3
70,11686.67
71,11686.67
72,11686.67
73,7540.88
74,7434.39
75,11226.66
76,7540.88
77,11686.67
78,11226.66
79,11686.67
80,9583.3
81,9583.3
82,9583.3
83,9583.3
84,11686.67
85,9583.3
86,9583.3
87,11226.66
88,9583.3
89,9583.3
90,9583.3
91,11226.66
92,9583.3
93,9583.3
94,11226.66
95,11226.66
96,9269.14
97,11686.67
98,11686.67
99,9583.3
100,11686.67
101,9269.14
102,11226.66
103,11226.66
104,11262.43
105,7434.39
106,11686.67
107,9583.3
108,9583.3
109,7540.88
110,11686.67
111,11226.66
112,7540.88
113,11226.66
114,9583.3
115,7540.88
116,11226.66
117,7540.88
118,11686.67
119,9583.3
120,11686.67
121,9583.3
122,9583.3
123,9583.3
124,11226.66
125,11226.66
126,11226.66
127,11226.66
128,7540.88
129,11226.66
130,11226.66
131,7540.88
132,11686.67
133,11686.67
134,7540.88
135,7540.88
136,7540.88
137,9583.3
138,11226.66
139,11686.67
140,7540.88
141,7540.88
142,11226.66
143,7540.88
144,11686.67
145,9583.3
146,11226.66
147,11226.66
148,11226.66
149,7540.88
150,11686.67
151,7540.88
152,9583.3
153,11226.66
154,9583.3
155,11686.67
156,9583.3
157,11226.66
158,11686.67
159,7540.88
160,11226.66
161,11226.66
162,9583.3
163,7434.39
164,11226.66
165,11686.67
166,11686.67
167,7540.88
168,11686.67
169,9583.3
170,9583.3
171,9583.3
172,9269.14
173,7540.88
174,7540.88
175,11686.67
176,11226.66
177,9583.3
178,11226.66
179,7540.88
180,7540.88
181,11226.66
182,11686.67
183,7540.88
184,7540.88
185,11226.66
186,11686.67
187,7434.39
188,7540.88
189,9583.3
190,11226.66
191,11226.66
192,9583.3
193,11686.67
194,7540.88
195,11686.67
196,11686.67
197,7434.39
198,11226.66
199,11226.66
200,11226.66
201,7540.88
202,9583.3
203,11226.66
204,11686.67
205,9672.35
206,9583.3
207,9583.3
208,11226.66
209,7540.88
210,11686.67
211,11226.66
212,11686.67
213,9583.3
214,11686.67
215,11226.66
216,9583.3
217,11686.67
218,11686.67
219,7540.88
220,11226.66
221,11686.67
222,9583.3
223,9583.3
224,9583.3
225,11226.66
226,11226.66
227,9583.3
228,9583.3
229,9583.3
230,7434.39
231,9583.3
232,11226.66
233,11226.66
234,9583.3
235,11226.66
236,11226.66
237,11226.66
238,11686.67
239,11686.67
240,9583.3
241,9583.3
242,11226.66
243,9583.3
244,9583.3
245,11226.66
246,11226.66
247,9583.3
248,11226.66
249,11226.66
250,11226.66
251,9583.3
252,11226.66
253,11686.67
254,11686.67
255,9583.3
256,11226.66
257,11686.67
258,9583.3
259,11226.66
260,11686.67
261,11686.67
262,7540.88
263,9583.3
264,11686.67
265,11226.66
266,11226.66
267,11686.67
268,7540.88
269,11226.66
270,11686.67
271,11686.67
272,11226.66
273,11686.67
274,11686.67
275,9583.3
276,9583.3
277,11226.66
278,9583.3
279,7540.88
280,7540.88
281,11686.67
282,11686.67
283,9583.3
284,11226.66
285,9583.3
286,11226.66
287,11226.66
288,11226.66
289,11686.67
290,11226.66
291,9583.3
292,7540.88
293,11226.66
294,7540.88
295,9583.3
296,11226.66
297,11686.67
298,7540.88
299,9583.3
300,11226.66
301,7540.88
302,9583.3
303,7540.88
304,9583.3
305,11686.67
306,9269.14
307,11226.66
308,9583.3
309,11686.67
310,11226.66
311,11226.66
312,11226.66
313,11686.67
314,9269.14
315,11226.66
316,7540.88
317,11686.67
318,9583.3
319,9269.14
320,9583.3
321,9583.3
322,11686.67
323,11226.66
324,11686.67
325,11226.66
326,7540.88
327,11686.67
328,7540.88
329,7540.88
330,11226.66
331,11226.66
332,11226.66
333,9583.3
334,7540.88
335,9583.3
336,9583.3
337,11226.66
338,7540.88
339,11226.66
340,7540.88
341,11686.67
342,7540.88
343,11226.66
344,9583.3
345,9583.3
346,11226.66
347,11226.66
348,11226.66
349,11226.66
350,7540.88
351,9583.3
352,7540.88
353,11686.67
354,7540.88
355,11226.66
356,11226.66
357,7540.88
358,9583.3
359,9583.3
360,9583.3
361,9583.3
362,7540.88
363,11686.67
364,9583.3
365,7540.88
366,9583.3
367,11226.66
368,11686.67
369,9583.3
370,11686.67
371,11686.67
372,11226.66
373,9583.3
374,11226.66
375,11686.67
376,11226.66
377,11686.67
378,11686.67
379,7540.88
380,11686.67
381,11686.67
382,11226.66
383,9583.3
384,11226.66
385,7540.88
386,11686.67
387,11226.66
388,11226.66
389,11686.67
390,11226.66
391,7540.88
392,9583.3
393,11686.67
394,11226.66
395,11686.67
396,11686.67
397,7540.88
398,11226.66
399,7434.39
400,11686.67
401,11226.66
402,11226.66
403,9583.3
404,9583.3
405,11686.67
406,9583.3
407,7540.88
408,7540.88
409,9583.3
410,7540.88
411,11226.66
412,9583.3
413,11226.66
414,7434.39
415,9583.3
416,11226.66
417,11686.67
418,9583.3
419,7434.39
420,9583.3
421,11226.66
422,11226.66
423,9583.3
424,7540.88
425,9583.3
426,9583.3
427,11226.66
428,11226.66
429,7540.88
430,11262.43
431,7540.88
432,9583.3
433,7540.88
434,7540.88
435,11226.66
436,11686.67
437,9583.3
438,11686.67
439,11226.66
440,9269.14
441,9583.3
442,11226.66
443,11226.66
444,11226.66
445,7540.88
446,11226.66
447,11686.67
448,9583.3
449,9583.3
450,9583.3
451,9583.3
452,7540.88
453,11686.67
454,9583.3
455,9583.3
456,11226.66
457,9583.3
458,11686.67
459,11226.66
460,11686.67
461,9583.3
462,9583.3
463,7434.39
464,11226.66
465,11226.66
466,11226.66
467,11226.66
468,11226.66
469,9583.3
470,11226.66
471,9672.35
472,11226.66
473,11226.66
474,9583.3
475,11226.66
476,7540.88
477,11226.66
478,11686.67
479,9583.3
480,7409.3
481,11226.66
482,9583.3
483,11226.66
484,9583.3
485,7540.88
486,11226.66
487,11686.67
488,9583.3
489,11226.66
490,11226.66
491,11686.67
492,9583.3
493,9583.3
494,7540.88
495,11226.66
496,11226.66
497,11226.66
498,11226.66
499,11686.67
500,9583.3
501,9583.3
502,11226.66
503,7540.88
504,11226.66
505,11226.66
506,11226.66
507,11262.43
508,11686.67
509,9583.3
510,11226.66
511,9583.3
512,7540.88
513,9583.3
514,11226.66
515,11686.67
516,9583.3
517,11226.66
518,11686.67
519,11226.66
520,11686.67
521,11226.66
522,11226.66
523,9583.3
524,11226.66
525,11686.67
526,11686.67
527,9269.14
528,11686.67
529,11226.66
530,7540.88
531,9583.3
532,7540.88
533,11686.67
534,9583.3
535,11686.67
536,11226.66
537,7434.39
538,7540.88
539,11686.67
540,11686.67
541,11686.67
542,11226.66
543,11226.66
544,9583.3
545,11226.66
546,11226.66
547,9583.3
548,11226.66
549,11226.66
550,11226.66
551,11686.67
552,11226.66
553,11262.43
554,11686.67
555,9583.3
556,11686.67
557,11226.66
558,11226.66
559,7540.88
560,11226.66
561,7540.88
562,9583.3
563,9583.3
564,11686.67
565,9583.3
566,11686.67
567,7540.88
568,9583.3
569,11686.67
570,11686.67
571,11226.66
572,9583.3
573,11226.66
574,9583.3
575,7540.88
576,7540.88
577,11226.66
578,11226.66
579,11226.66
580,11226.66
581,11226.66
582,9583.3
583,11226.66
584,11226.66
585,11686.67
586,7540.88
587,9583.3
588,11226.66
589,11686.67
590,9583.3
591,11686.67
592,11226.66
593,7540.88
594,7540.88
595,9583.3
596,11686.67
597,9583.3
598,9583.3
599,7540.88
600,7540.88
601,9583.3
602,11226.66
603,11226.66
604,11226.66
605,11226.66
606,7434.39
607,11226.66
608,11226.66
609,9583.3
610,9583.3
611,9583.3
612,11226.66
613,9583.3
614,11686.67
615,9583.3
616,11226.66
617,7540.88
618,9583.3
619,9583.3
620,11686.67
621,11686.67
622,9269.14
623,11226.66
624,11686.67
625,9583.3
626,9583.3
627,9583.3
628,9583.3
629,9583.3
630,11262.43
631,7540.88
632,11686.67
633,9583.3
634,11686.67
635,11226.66
636,9583.3
637,7540.88
638,11226.66
639,9583.3
640,7540.88
641,9583.3
642,11686.67
643,11226.66
644,11226.66
645,9583.3
646,9583.3
647,9583.3
648,11226.66
649,11226.66
650,11226.66
651,11686.67
652,11226.66
653,7540.88
654,11226.66
655,11686.67
656,11226.66
657,7540.88
658,11686.67
659,9583.3
660,11226.66
661,11226.66
662,9583.3
663,9583.3
664,11686.67
665,11226.66
666,9583.3
667,11226.66
668,7540.88
669,11686.67
670,9583.3
671,11226.66
672,7540.88
673,11226.66
674,7540.88
675,11226.66
676,7540.88
677,10120.53
678,7540.88
679,11226.66
680,9583.3
681,9583.3
682,7540.88
683,9583.3
684,9583.3
685,11686.67
686,11226.66
687,11686.67
688,11686.67
689,9269.14
690,9583.3
691,7540.88
692,9583.3
693,11262.43
694,11226.66
695,9583.3
696,11226.66
697,9583.3
698,11226.66
699,9583.3
700,9583.3
701,7540.88
702,11226.66
703,11686.67
704,7540.88
705,9583.3
706,7540.88
707,11226.66
708,11226.66
709,9583.3
710,9583.3
711,11686.67
712,11226.66
713,9583.3
714,7434.39
715,7434.39
716,11226.66
717,7540.88
718,11686.67
719,9583.3
720,7540.88
721,7434.39
722,11686.67
723,11686.67
724,9583.3
725,9583.3
726,11686.67
727,9583.3
728,7540.88
729,11226.66
730,11686.67
731,7540.88
732,9583.3
733,9583.3
734,11226.66
735,11226.66
736,7540.88
737,9583.3
738,11686.67
739,9583.3
740,11226.66
741,11226.66
742,11226.66
743,11686.67
744,7540.88
745,7540.88
746,11686.67
747,7540.88
748,9583.3
749,11226.66
750,11226.66
751,11226.66
752,11686.67
753,11226.66
754,11686.67
755,7540.88
756,11226.66
757,9583.3
758,7434.39
759,9269.14
760,11226.66
761,11226.66
762,9583.3
763,11226.66
764,7540.88
765,9583.3
766,7434.39
767,11226.66
768,11226.66
769,11226.66
770,11226.66
771,11686.67
772,7540.88
773,9583.3
774,9583.3
775,11226.66
776,11226.66
777,11226.66
778,11226.66
779,11226.66
780,11686.67
781,11226.66
782,11686.67
783,11226.66
784,9583.3
785,7540.88
786,9672.35
787,9583.3
788,11226.66
789,11226.66
790,11686.67
791,9583.3
792,11686.67
793,7540.88
794,9583.3
795,11226.66
796,11226.66
797,11226.66
798,11686.67
799,11226.66
800,9583.3
801,11686.67
802,11226.66
803,11226.66
804,11226.66
805,7434.39
806,11686.67
807,9583.3
808,11686.67
809,11686.67
810,9583.3
811,11686.67
812,9583.3
813,11686.67
814,7540.88
815,11226.66
816,7540.88
817,7540.88
818,11686.67
819,7540.88
820,9583.3
821,11686.67
822,9583.3
823,11226.66
824,11226.66
825,11686.67
826,9269.14
827,11226.66
828,11686.67
829,11686.67
830,11686.67
831,11686.67
832,11686.67
833,11226.66
834,9583.3
835,11226.66
836,9583.3
837,7540.88
838,11226.66
839,11226.66
840,11686.67
841,9583.3
842,11226.66
843,11686.67
844,9583.3
845,11226.66
846,11226.66
847,11226.66
848,11226.66
849,11226.66
850,11226.66
851,11226.66
852,11226.66
853,9583.3
854,7540.88
855,7540.88
856,11686.67
857,8625.0
858,11226.66
859,9583.3
860,9583.3
861,9583.3
862,9583.3
863,7434.39
864,11686.67
865,11686.67
866,11226.66
867,11226.66
868,7540.88
869,11686.67
870,11226.66
871,11226.66
872,11686.67
873,9583.3
874,11226.66
875,9583.3
876,11262.43
877,7540.88
878,11226.66
879,9583.3
880,11686.67
881,9583.3
882,7434.39
883,11226.66
884,9583.3
885,11226.66
886,11686.67
887,11686.67
888,11686.67
889,11686.67
890,9583.3
